The total number of words in the novel is 19172
The total number of unique words is 17373
The total number of words that are not unique is 1799
hence, 12 Art spoken ever and anon!
home, 12 Art spoken ever and anon!
you, 390 Art spoken ever and anon!
idle, 3 Art spoken ever and anon!
creatures, 2 Ne'er spoken ever!
get, 11 Art spoken ever and anon!
you, 390 Art spoken ever and anon!
home, 12 Art spoken ever and anon!
is, 250 Art spoken ever and anon!
this, 165 Art spoken ever and anon!
a, 227 Art spoken ever and anon!
holiday, 3 Art spoken ever and anon!
what, 126 Art spoken ever and anon!
know, 68 Art spoken ever and anon!
you, 390 Art spoken ever and anon!
not, 256 Art spoken ever and anon!
being, 10 Art spoken ever and anon!
mechanical, 1 Art spoken ever and anon!
you, 390 Art spoken ever and anon!
ought, 2 Art spoken ever and anon!
not, 256 Art spoken ever and anon!
walk, 8 Art spoken ever and anon!
upon, 48 Art spoken ever and anon!
a, 227 Art spoken ever and anon!
labouring, 1 Ne'er spoken ever!
day, 25 Art spoken ever and anon!
without, 5 Art spoken ever and anon!
the, 602 Art spoken ever and anon!
sign, 4 Art spoken ever and anon!
of, 363 Art spoken ever and anon!
your, 130 Art spoken ever and anon!
profession, 1 Art spoken ever and anon!
speak, 41 Art spoken ever and anon!
what, 126 Art spoken ever and anon!
trade, 6 Art spoken ever and anon!
art, 23 Art spoken ever and anon!
thou, 116 Art spoken ever and anon!
first, 35 Art spoken ever and anon!
commoner, 7 Art spoken ever and anon!
why, 42 Art spoken ever and anon!
sir, 23 Art spoken ever and anon!
a, 227 Art spoken ever and anon!
carpenter, 1 Art spoken ever and anon!
where, 29 Art spoken ever and anon!
is, 250 Art spoken ever and anon!
thy, 55 Art spoken ever and anon!
leather, 2 Art spoken ever and anon!
apron, 1 Art spoken ever and anon!
and, 634 Art spoken ever and anon!
thy, 55 Art spoken ever and anon!
rule, 2 Art spoken ever and anon!
what, 126 Art spoken ever and anon!
dost, 10 Ne'er spoken ever!
thou, 116 Art spoken ever and anon!
with, 157 Art spoken ever and anon!
thy, 55 Art spoken ever and anon!
best, 13 Art spoken ever and anon!
apparel, 1 Art spoken ever and anon!
on, 83 Art spoken ever and anon!
you, 390 Art spoken ever and anon!
sir, 23 Art spoken ever and anon!
what, 126 Art spoken ever and anon!
trade, 6 Art spoken ever and anon!
are, 109 Art spoken ever and anon!
you, 390 Art spoken ever and anon!
second, 29 Art spoken ever and anon!
commoner, 7 Art spoken ever and anon!
truly, 8 Art spoken ever and anon!
sir, 23 Art spoken ever and anon!
in, 226 Art spoken ever and anon!
respect, 7 Art spoken ever and anon!
of, 363 Art spoken ever and anon!
a, 227 Art spoken ever and anon!
fine, 1 Art spoken ever and anon!
workman, 1 Art spoken ever and anon!
am, 57 Art spoken ever and anon!
but, 145 Art spoken ever and anon!
as, 135 Art spoken ever and anon!
you, 390 Art spoken ever and anon!
would, 44 Art spoken ever and anon!
say, 37 Art spoken ever and anon!
a, 227 Art spoken ever and anon!
cobbler, 2 Art spoken ever and anon!
but, 145 Art spoken ever and anon!
what, 126 Art spoken ever and anon!
trade, 6 Art spoken ever and anon!
art, 23 Art spoken ever and anon!
thou, 116 Art spoken ever and anon!
answer, 11 Art spoken ever and anon!
me, 189 Art spoken ever and anon!
directly, 9 Art spoken ever and anon!
second, 29 Art spoken ever and anon!
commoner, 7 Art spoken ever and anon!
trade, 6 Art spoken ever and anon!
sir, 23 Art spoken ever and anon!
that, 283 Art spoken ever and anon!
hope, 3 Art spoken ever and anon!
may, 37 Art spoken ever and anon!
use, 10 Art spoken ever and anon!
with, 157 Art spoken ever and anon!
a, 227 Art spoken ever and anon!
safe, 4 Art spoken ever and anon!
conscience, 1 Art spoken ever and anon!
which, 47 Art spoken ever and anon!
is, 250 Art spoken ever and anon!
indeed, 11 Art spoken ever and anon!
sir, 23 Art spoken ever and anon!
a, 227 Art spoken ever and anon!
mender, 1 Art spoken ever and anon!
of, 363 Art spoken ever and anon!
bad, 8 Art spoken ever and anon!
soles, 1 Art spoken ever and anon!
what, 126 Art spoken ever and anon!
trade, 6 Art spoken ever and anon!
thou, 116 Art spoken ever and anon!
knave, 4 Art spoken ever and anon!
thou, 116 Art spoken ever and anon!
naughty, 1 Art spoken ever and anon!
knave, 4 Art spoken ever and anon!
what, 126 Art spoken ever and anon!
trade, 6 Art spoken ever and anon!
second, 29 Art spoken ever and anon!
commoner, 7 Art spoken ever and anon!
nay, 6 Art spoken ever and anon!
beseech, 3 Art spoken ever and anon!
you, 390 Art spoken ever and anon!
sir, 23 Art spoken ever and anon!
be, 150 Art spoken ever and anon!
not, 256 Art spoken ever and anon!
out, 27 Art spoken ever and anon!
with, 157 Art spoken ever and anon!
me, 189 Art spoken ever and anon!
yet, 41 Art spoken ever and anon!
if, 84 Art spoken ever and anon!
you, 390 Art spoken ever and anon!
be, 150 Art spoken ever and anon!
out, 27 Art spoken ever and anon!
sir, 23 Art spoken ever and anon!
can, 19 Art spoken ever and anon!
mend, 2 Art spoken ever and anon!
you, 390 Art spoken ever and anon!
what, 126 Art spoken ever and anon!
meanest, 1 Ne'er spoken ever!
thou, 116 Art spoken ever and anon!
by, 99 Art spoken ever and anon!
that, 283 Art spoken ever and anon!
mend, 2 Art spoken ever and anon!
me, 189 Art spoken ever and anon!
thou, 116 Art spoken ever and anon!
saucy, 3 Art spoken ever and anon!
fellow, 13 Art spoken ever and anon!
second, 29 Art spoken ever and anon!
commoner, 7 Art spoken ever and anon!
why, 42 Art spoken ever and anon!
sir, 23 Art spoken ever and anon!
cobble, 1 Art spoken ever and anon!
you, 390 Art spoken ever and anon!
thou, 116 Art spoken ever and anon!
art, 23 Art spoken ever and anon!
a, 227 Art spoken ever and anon!
cobbler, 2 Art spoken ever and anon!
