The total number of words in the novel is 25424
The total number of unique words is 23049
The total number of words that are not unique is 2375
i, 26 Art spoken ever and anon!
thought, 14 Art spoken ever and anon!
the, 910 Art spoken ever and anon!
king, 65 Art spoken ever and anon!
had, 40 Art spoken ever and anon!
more, 81 Art spoken ever and anon!
affected, 2 Art spoken ever and anon!
the, 910 Art spoken ever and anon!
duke, 23 Art spoken ever and anon!
of, 465 Art spoken ever and anon!
albany, 6 Art spoken ever and anon!
than, 67 Art spoken ever and anon!
cornwall, 11 Ne'er spoken ever!
it, 190 Art spoken ever and anon!
did, 23 Art spoken ever and anon!
always, 2 Art spoken ever and anon!
seem, 8 Art spoken ever and anon!
so, 141 Art spoken ever and anon!
to, 564 Art spoken ever and anon!
us, 51 Art spoken ever and anon!
but, 132 Art spoken ever and anon!
now, 78 Art spoken ever and anon!
in, 296 Art spoken ever and anon!
the, 910 Art spoken ever and anon!
division, 3 Art spoken ever and anon!
of, 465 Art spoken ever and anon!
the, 910 Art spoken ever and anon!
kingdom, 12 Art spoken ever and anon!
it, 190 Art spoken ever and anon!
appears, 4 Ne'er spoken ever!
not, 281 Art spoken ever and anon!
which, 78 Art spoken ever and anon!
of, 465 Art spoken ever and anon!
the, 910 Art spoken ever and anon!
dukes, 8 Ne'er spoken ever!
he, 172 Art spoken ever and anon!
values, 1 Ne'er spoken ever!
most, 54 Art spoken ever and anon!
for, 154 Art spoken ever and anon!
equalities, 1 Ne'er spoken ever!
are, 128 Art spoken ever and anon!
so, 141 Art spoken ever and anon!
weighed, 1 Art spoken ever and anon!
that, 347 Art spoken ever and anon!
curiosity, 3 Art spoken ever and anon!
in, 296 Art spoken ever and anon!
neither, 8 Art spoken ever and anon!
can, 39 Art spoken ever and anon!
make, 53 Art spoken ever and anon!
choice, 4 Art spoken ever and anon!
of, 465 Art spoken ever and anon!
eithers, 1 Ne'er spoken ever!
moiety, 1 Art spoken ever and anon!
is, 219 Art spoken ever and anon!
not, 281 Art spoken ever and anon!
this, 236 Art spoken ever and anon!
your, 224 Art spoken ever and anon!
son, 27 Art spoken ever and anon!
my, 457 Art spoken ever and anon!
lord, 97 Art spoken ever and anon!
his, 210 Art spoken ever and anon!
breeding, 3 Art spoken ever and anon!
sir, 115 Art spoken ever and anon!
hath, 56 Art spoken ever and anon!
been, 30 Art spoken ever and anon!
at, 62 Art spoken ever and anon!
my, 457 Art spoken ever and anon!
charge, 3 Art spoken ever and anon!
have, 205 Art spoken ever and anon!
so, 141 Art spoken ever and anon!
often, 3 Art spoken ever and anon!
blushed, 1 Ne'er spoken ever!
to, 564 Art spoken ever and anon!
acknowledge, 2 Art spoken ever and anon!
him, 197 Art spoken ever and anon!
that, 347 Art spoken ever and anon!
now, 78 Art spoken ever and anon!
am, 86 Art spoken ever and anon!
brazed, 1 Ne'er spoken ever!
to, 564 Art spoken ever and anon!
it, 190 Art spoken ever and anon!
cannot, 22 Art spoken ever and anon!
conceive, 2 Art spoken ever and anon!
you, 458 Art spoken ever and anon!
sir, 115 Art spoken ever and anon!
this, 236 Art spoken ever and anon!
young, 10 Art spoken ever and anon!
fellows, 4 Ne'er spoken ever!
mother, 4 Art spoken ever and anon!
could, 19 Art spoken ever and anon!
whereupon, 1 Art spoken ever and anon!
she, 54 Art spoken ever and anon!
grew, 3 Art spoken ever and anon!
roundwombed, 1 Ne'er spoken ever!
and, 733 Art spoken ever and anon!
had, 40 Art spoken ever and anon!
indeed, 5 Art spoken ever and anon!
sir, 115 Art spoken ever and anon!
a, 352 Art spoken ever and anon!
son, 27 Art spoken ever and anon!
for, 154 Art spoken ever and anon!
her, 132 Art spoken ever and anon!
cradle, 1 Art spoken ever and anon!
ere, 11 Art spoken ever and anon!
she, 54 Art spoken ever and anon!
had, 40 Art spoken ever and anon!
a, 352 Art spoken ever and anon!
husband, 9 Art spoken ever and anon!
for, 154 Art spoken ever and anon!
her, 132 Art spoken ever and anon!
bed, 8 Art spoken ever and anon!
do, 116 Art spoken ever and anon!
you, 458 Art spoken ever and anon!
smell, 6 Art spoken ever and anon!
a, 352 Art spoken ever and anon!
fault, 6 Art spoken ever and anon!
cannot, 22 Art spoken ever and anon!
wish, 2 Art spoken ever and anon!
the, 910 Art spoken ever and anon!
fault, 6 Art spoken ever and anon!
undone, 1 Art spoken ever and anon!
the, 910 Art spoken ever and anon!
issue, 4 Art spoken ever and anon!
of, 465 Art spoken ever and anon!
it, 190 Art spoken ever and anon!
being, 16 Art spoken ever and anon!
so, 141 Art spoken ever and anon!
proper, 2 Art spoken ever and anon!
but, 132 Art spoken ever and anon!
have, 205 Art spoken ever and anon!
sir, 115 Art spoken ever and anon!
a, 352 Art spoken ever and anon!
son, 27 Art spoken ever and anon!
by, 90 Art spoken ever and anon!
order, 1 Art spoken ever and anon!
of, 465 Art spoken ever and anon!
law, 4 Art spoken ever and anon!
